Values;Mean;Std;Median
X;0.6782533657247549;0.08794101142279004;0.6795230869524078
Y;0.20528975347960032;0.12428046985149943;0.19769226623865307
Z;1.364868585071062;0.09472619997401832;1.3697522160607103
R00;-0.5487626518829087;0.057840902724016104;-0.5449851083298726
R01;-0.09252667381085457;0.08498874298001766;-0.08091585585758262
R02;-0.8222539851817319;0.06023366104966276;-0.8340434835450371
R10;0.05756529323427938;0.12005868415618604;0.06002285733733287
R11;0.9675463881741025;0.1183162789688631;0.986346225741199
R12;-0.1448660955830243;0.10555192365029517;-0.13632844462884988
R20;0.8145969298371911;0.1192391426666093;0.8336050602232561
R21;-0.12955930125053547;0.13147380165592057;-0.12969951029628554
R22;-0.5303308137585568;0.08301881516713108;-0.5359363405132247
