Values;Mean;Std;Median
X;-0.3238975797747415;0.05399768175627687;-0.31976570736159343
Y;-0.5700075025844759;0.040926846767534074;-0.5707834720077481
Z;1.3911984678675504;0.024079585132332756;1.3896583716037498
R00;-0.8985148824153647;0.02963203982360241;-0.9027374106178039
R01;-0.2205626555836079;0.0422540905866497;-0.2194318191978114
R02;0.3728866880962257;0.04811624388110858;0.3713416111561346
R10;0.14323667410312593;0.029177796655611023;0.14628912726397844
R11;0.6576343670682658;0.03483635908368933;0.6582105234611622
R12;0.7375526709971193;0.030845359711443827;0.7377544015103158
R20;-0.4081653631622024;0.06185382755224085;-0.4049214672129845
R21;0.7170458405137997;0.04141783105106658;0.7190644288697441
R22;-0.5590337895573455;0.03444108502708038;-0.5603673140291143
